world,evader_spawn,pursuer_spawn,evader_ori,pursuer_ori,goal_id
./Worlds/old_worlds/new_world_6.blend,"(-10.51, 4.47)","(-13.85, -5.8)",0.329,1.257,13
./Worlds/old_worlds/new_world_7.blend,"(-11.25, 3.16)","(-11.25, -7.26)",2.389,1.571,3
./Worlds/old_worlds/new_world_8.blend,"(3.31, 2.22)","(-7.85, 2.22)",-1.336,0,0
./Worlds/old_worlds/new_world_3.blend,"(13.17, -8.02)","(-4.07, -8.02)",-3.093,0,1
./Worlds/old_worlds/new_world_6.blend,"(0.14, -11.26)","(13.65, -6.87)",-0.149,-2.827,13
./Worlds/old_worlds/new_world_0.blend,"(1.75, 3.25)","(-14.17, 3.25)",-2.258,0,10
./Worlds/old_worlds/new_world_5.blend,"(9.94, -8.18)","(-4.77, -8.18)",-0.328,0,8
./Worlds/old_worlds/new_world_4.blend,"(6.05, -8.46)","(-0.11, 10.5)",0.172,-1.257,1
./Worlds/old_worlds/new_world_6.blend,"(-10.72, 4.59)","(-6.94, -7.03)",2.881,1.885,10
./Worlds/old_worlds/new_world_8.blend,"(-1.7, 7.56)","(-15.95, 2.93)",0.461,0.314,2
./Worlds/old_worlds/new_world_9.blend,"(0.18, -11.49)","(13.76, -11.49)",1.644,3.142,6
./Worlds/old_worlds/new_world_3.blend,"(3.08, -9.38)","(13.3, -9.38)",0.341,3.142,4
./Worlds/old_worlds/new_world_5.blend,"(-14.54, -0.55)","(-4.66, -7.73)",-2.452,2.513,5
./Worlds/old_worlds/new_world_2.blend,"(2.51, 6.09)","(-11.32, 1.6)",3.132,0.314,13
./Worlds/old_worlds/new_world_9.blend,"(-3.2, -10.99)","(-15.18, -14.89)",2.503,0.314,2
./Worlds/old_worlds/new_world_9.blend,"(-0.84, -9.8)","(13.84, -9.8)",-0.77,3.142,12
./Worlds/old_worlds/new_world_3.blend,"(5.11, -8.52)","(5.11, 5.47)",-2.354,-1.571,12
./Worlds/old_worlds/new_world_8.blend,"(-4.81, -14.13)","(11.57, -8.81)",0.931,-2.827,4
./Worlds/old_worlds/new_world_4.blend,"(8.4, 11.44)","(-10.6, 5.27)",0.95,0.314,4
./Worlds/old_worlds/new_world_3.blend,"(5.75, -11.62)","(-5.96, -11.62)",-2.27,0,3
./Worlds/old_worlds/new_world_3.blend,"(-1.36, 8.84)","(-12.62, 5.18)",0.524,0.314,2
./Worlds/old_worlds/new_world_5.blend,"(-15.08, -1.18)","(-15.08, -13.31)",-1.579,1.571,12
./Worlds/old_worlds/new_world_9.blend,"(9.68, 7.05)","(-3.03, -2.19)",-1.248,0.628,0
./Worlds/old_worlds/new_world_0.blend,"(-14.91, -5.22)","(-4.36, -12.89)",1.336,2.513,11
./Worlds/old_worlds/new_world_0.blend,"(-3.95, 7.34)","(-15.54, -1.08)",-1.86,0.628,5
./Worlds/old_worlds/new_world_3.blend,"(3.14, 4.5)","(-12.68, 4.5)",-1.771,0,6
./Worlds/old_worlds/new_world_7.blend,"(-3.68, -7.65)","(-15.04, -7.65)",2.953,0,7
./Worlds/old_worlds/new_world_0.blend,"(8.19, -11.49)","(-1.5, -4.46)",2.051,-0.628,3
./Worlds/old_worlds/new_world_2.blend,"(-1.24, -8.21)","(11.85, -8.21)",0.191,3.142,7
./Worlds/old_worlds/new_world_2.blend,"(-3.84, -10.16)","(5.97, 3.33)",0.846,-2.199,2
./Worlds/old_worlds/new_world_2.blend,"(-15.02, 6.27)","(-15.02, -10.36)",-2.389,1.571,0
./Worlds/old_worlds/new_world_8.blend,"(-6.78, -12.0)","(5.78, -12.0)",2.216,3.142,10
./Worlds/old_worlds/new_world_0.blend,"(7.8, -8.95)","(-5.74, -8.95)",1.401,0,13
./Worlds/old_worlds/new_world_4.blend,"(1.18, -9.22)","(12.64, -9.22)",-1.74,3.142,4
./Worlds/old_worlds/new_world_1.blend,"(12.44, 7.95)","(-3.23, 7.95)",1.49,0,10
./Worlds/old_worlds/new_world_4.blend,"(-0.35, 7.13)","(-12.49, 3.19)",-1.54,0.314,3
./Worlds/old_worlds/new_world_5.blend,"(1.16, -11.64)","(13.43, -7.65)",-0.488,-2.827,0
./Worlds/old_worlds/new_world_1.blend,"(-14.02, 4.91)","(-3.98, -2.39)",0.668,2.513,7
./Worlds/old_worlds/new_world_1.blend,"(-9.72, 2.65)","(-4.43, -13.63)",-1.232,1.885,7
./Worlds/old_worlds/new_world_0.blend,"(-4.71, -12.67)","(7.15, -12.67)",0.005,3.142,1
./Worlds/old_worlds/new_world_0.blend,"(-14.1, 0.9)","(-5.83, -10.48)",-0.622,2.199,6
./Worlds/old_worlds/new_world_7.blend,"(-2.87, -6.99)","(6.94, -14.11)",-0.098,2.513,5
./Worlds/old_worlds/new_world_9.blend,"(-3.33, 9.67)","(-11.98, 3.39)",0.624,0.628,1
./Worlds/old_worlds/new_world_4.blend,"(12.62, -7.19)","(-3.95, -7.19)",-2.935,0,11
./Worlds/old_worlds/new_world_8.blend,"(-14.0, -7.31)","(-5.25, -13.67)",-2.691,2.513,5
./Worlds/old_worlds/new_world_3.blend,"(12.94, -9.14)","(0.11, -9.14)",2.814,0,12
./Worlds/old_worlds/new_world_5.blend,"(-11.15, 4.91)","(-15.22, -7.62)",-1.188,1.257,7
./Worlds/old_worlds/new_world_3.blend,"(10.52, -3.33)","(-2.51, -3.33)",-3.033,0,4
./Worlds/old_worlds/new_world_2.blend,"(-1.87, -9.52)","(13.86, -9.52)",-0.826,3.142,2
./Worlds/old_worlds/new_world_0.blend,"(6.43, -11.13)","(-6.34, -11.13)",1.921,0,6
./Worlds/old_worlds/new_world_7.blend,"(-2.11, -11.69)","(12.8, -11.69)",-2.222,3.142,7
./Worlds/old_worlds/new_world_2.blend,"(10.65, -8.94)","(-1.75, -8.94)",1.124,0,8
./Worlds/old_worlds/new_world_4.blend,"(8.25, 9.89)","(8.25, -5.64)",2.844,1.571,6
./Worlds/old_worlds/new_world_8.blend,"(12.35, -7.99)","(-1.04, -7.99)",-2.004,0,7
./Worlds/old_worlds/new_world_7.blend,"(-15.13, -1.12)","(-2.65, -10.19)",0.16,2.513,1
./Worlds/old_worlds/new_world_9.blend,"(3.53, -9.73)","(3.53, 5.5)",2.976,-1.571,4
./Worlds/old_worlds/new_world_9.blend,"(13.74, -3.46)","(-3.53, -9.07)",1.068,0.314,8
./Worlds/old_worlds/new_world_3.blend,"(4.14, 5.46)","(-13.74, -0.35)",-1.605,0.314,3
./Worlds/old_worlds/new_world_4.blend,"(-3.84, -10.18)","(7.58, -10.18)",2.604,3.142,2
./Worlds/old_worlds/new_world_2.blend,"(-15.16, -7.33)","(-1.48, -7.33)",2.171,3.142,7
./Worlds/old_worlds/new_world_6.blend,"(-1.6, 10.28)","(-12.62, 2.27)",2.176,0.628,6
./Worlds/old_worlds/new_world_8.blend,"(-13.38, 0.64)","(-7.33, -7.69)",1.411,2.199,4
./Worlds/old_worlds/new_world_1.blend,"(-15.38, 8.29)","(-15.38, -9.72)",1.552,1.571,12
./Worlds/old_worlds/new_world_3.blend,"(5.53, 2.94)","(-5.42, -12.12)",2.51,0.942,7
./Worlds/old_worlds/new_world_5.blend,"(-15.56, -0.83)","(-2.39, -10.39)",-2.222,2.513,3
./Worlds/old_worlds/new_world_1.blend,"(-15.18, 8.23)","(-15.18, -4.41)",2.211,1.571,6
./Worlds/old_worlds/new_world_3.blend,"(-3.04, -12.95)","(12.0, -12.95)",-0.456,3.142,8
./Worlds/old_worlds/new_world_3.blend,"(5.27, 4.43)","(-9.54, 4.43)",1.827,0,3
./Worlds/old_worlds/new_world_9.blend,"(-0.61, -9.78)","(12.42, -9.78)",-0.149,3.142,5
./Worlds/old_worlds/new_world_8.blend,"(8.57, -5.3)","(13.12, 8.69)",2.966,-1.885,11
./Worlds/old_worlds/new_world_6.blend,"(-1.57, -9.26)","(-15.41, -13.76)",-2.592,0.314,9
./Worlds/old_worlds/new_world_8.blend,"(11.07, -6.47)","(1.44, -9.6)",-0.462,0.314,3
./Worlds/old_worlds/new_world_9.blend,"(0.69, 9.83)","(-8.51, 3.15)",-1.719,0.628,9
./Worlds/old_worlds/new_world_3.blend,"(0.58, -8.67)","(10.48, -11.89)",1.696,2.827,8
./Worlds/old_worlds/new_world_3.blend,"(-14.62, 1.42)","(-5.08, -11.71)",-2.5,2.199,8
./Worlds/old_worlds/new_world_5.blend,"(-2.72, -6.68)","(-13.85, -6.68)",-1.316,0,6
./Worlds/old_worlds/new_world_4.blend,"(5.22, 5.33)","(-10.59, 5.33)",-2.15,0,2
./Worlds/old_worlds/new_world_6.blend,"(-15.1, -14.85)","(-4.91, -14.85)",1.73,3.142,2
./Worlds/old_worlds/new_world_2.blend,"(-14.8, -7.51)","(-4.83, -4.27)",1.729,-2.827,7
./Worlds/old_worlds/new_world_7.blend,"(2.79, 1.2)","(-10.6, 1.2)",-0.62,0,10
./Worlds/old_worlds/new_world_7.blend,"(-1.63, -4.62)","(-15.32, -9.07)",-2.458,0.314,7
./Worlds/old_worlds/new_world_0.blend,"(-15.51, 3.36)","(-15.51, -14.2)",-1.977,1.571,0
./Worlds/old_worlds/new_world_9.blend,"(-8.68, 5.36)","(-1.75, -4.17)",-0.649,2.199,7
./Worlds/old_worlds/new_world_9.blend,"(-14.44, 1.27)","(-8.35, -7.11)",1.158,2.199,10
./Worlds/old_worlds/new_world_3.blend,"(-4.22, -7.45)","(12.46, -2.03)",-2.314,-2.827,12
./Worlds/old_worlds/new_world_0.blend,"(-3.63, -1.52)","(-14.42, -1.52)",-1.527,0,4
./Worlds/old_worlds/new_world_6.blend,"(12.23, -2.4)","(-1.84, -2.4)",-0.02,0,0
./Worlds/old_worlds/new_world_2.blend,"(2.13, 6.2)","(-8.04, 2.89)",-0.188,0.314,11
./Worlds/old_worlds/new_world_8.blend,"(0.55, -9.84)","(10.89, -2.33)",-1.011,-2.513,1
