world,evader_spawn,pursuer_spawn,evader_ori,pursuer_ori,goal_id
./Worlds/wall_worlds/new_world_0.blend,"(-15.25, -12.36)","(-9.35, 5.8)",-2.834,-1.885,6
./Worlds/wall_worlds/new_world_3.blend,"(8.89, -4.21)","(-4.41, -4.21)",0.255,0.0,5
./Worlds/wall_worlds/new_world_4.blend,"(-15.31, 7.72)","(-15.31, -8.7)",0.369,1.571,1
./Worlds/wall_worlds/new_world_0.blend,"(-1.79, -2.73)","(-15.25, -12.51)",-2.941,0.628,10
./Worlds/wall_worlds/new_world_2.blend,"(1.47, 1.02)","(-12.33, 1.02)",1.34,0.0,4
./Worlds/wall_worlds/new_world_9.blend,"(1.7, -10.94)","(13.28, -10.94)",1.34,3.142,5
./Worlds/wall_worlds/new_world_3.blend,"(-2.24, -4.04)","(12.02, -8.67)",-1.994,2.827,13
./Worlds/wall_worlds/new_world_3.blend,"(11.18, -11.46)","(-6.14, -11.46)",0.991,0.0,12
./Worlds/wall_worlds/new_world_9.blend,"(2.62, -8.57)","(12.68, -8.57)",-1.652,3.142,6
./Worlds/wall_worlds/new_world_5.blend,"(3.29, 5.3)","(-9.89, 5.3)",2.926,0.0,8
./Worlds/wall_worlds/new_world_7.blend,"(4.33, 3.93)","(-14.47, 3.93)",2.245,0.0,8
./Worlds/wall_worlds/new_world_9.blend,"(-11.92, 3.68)","(-8.45, -7.02)",3.069,1.885,8
./Worlds/wall_worlds/new_world_5.blend,"(2.76, 1.74)","(-14.1, 1.74)",-2.803,0.0,10
./Worlds/wall_worlds/new_world_1.blend,"(7.67, -6.09)","(12.44, 8.61)",1.39,-1.885,3
./Worlds/wall_worlds/new_world_1.blend,"(-15.06, 10.81)","(-15.06, 0.71)",0.638,1.571,11
./Worlds/wall_worlds/new_world_2.blend,"(8.14, -4.86)","(8.14, 5.4)",1.47,-1.571,6
./Worlds/wall_worlds/new_world_0.blend,"(3.1, 6.21)","(-14.73, 6.21)",-2.836,0.0,7
./Worlds/wall_worlds/new_world_6.blend,"(-13.33, -0.32)","(-3.83, -13.39)",1.598,2.199,2
./Worlds/wall_worlds/new_world_8.blend,"(-11.27, 1.25)","(-15.86, -12.86)",0.483,1.257,10
./Worlds/wall_worlds/new_world_2.blend,"(-2.84, -6.47)","(7.5, -9.82)",2.593,2.827,12
./Worlds/wall_worlds/new_world_9.blend,"(3.01, 1.56)","(-15.27, 1.56)",-1.397,0.0,9
./Worlds/wall_worlds/new_world_0.blend,"(-14.62, -4.34)","(-1.61, -8.57)",-2.583,2.827,6
./Worlds/wall_worlds/new_world_1.blend,"(11.87, -4.13)","(-0.29, -8.09)",1.85,0.314,9
./Worlds/wall_worlds/new_world_8.blend,"(-10.01, 2.49)","(-6.68, -7.73)",-1.192,1.885,3
./Worlds/wall_worlds/new_world_0.blend,"(-11.36, 1.72)","(-6.82, -12.25)",-0.758,1.885,2
./Worlds/wall_worlds/new_world_8.blend,"(-14.23, 8.53)","(-9.12, -7.18)",2.774,1.885,9
./Worlds/wall_worlds/new_world_7.blend,"(9.97, 8.62)","(-4.41, 8.62)",-1.211,0.0,10
./Worlds/wall_worlds/new_world_0.blend,"(1.77, 2.33)","(-15.35, 2.33)",-0.02,0.0,4
./Worlds/wall_worlds/new_world_9.blend,"(13.09, -12.67)","(13.09, 5.87)",1.121,-1.571,2
./Worlds/wall_worlds/new_world_9.blend,"(-10.65, 5.87)","(0.18, -9.02)",-1.19,2.199,8
./Worlds/wall_worlds/new_world_3.blend,"(4.05, 5.33)","(-15.15, 5.33)",-2.107,0.0,4
./Worlds/wall_worlds/new_world_4.blend,"(1.41, 9.37)","(-13.39, -1.38)",2.65,0.628,10
./Worlds/wall_worlds/new_world_8.blend,"(-13.31, 4.0)","(-13.31, -6.26)",1.532,1.571,7
./Worlds/wall_worlds/new_world_9.blend,"(-6.91, -8.58)","(7.35, -8.58)",2.48,3.142,5
./Worlds/wall_worlds/new_world_8.blend,"(-4.28, -5.46)","(-15.38, -9.07)",0.815,0.314,0
./Worlds/wall_worlds/new_world_9.blend,"(-2.47, -6.64)","(-14.56, -6.64)",-2.486,0.0,13
./Worlds/wall_worlds/new_world_7.blend,"(-14.85, 3.71)","(-14.85, -6.6)",1.621,1.571,5
./Worlds/wall_worlds/new_world_5.blend,"(-15.09, 0.36)","(-15.09, -9.79)",1.393,1.571,12
./Worlds/wall_worlds/new_world_1.blend,"(-14.17, -4.18)","(1.95, -9.42)",0.906,2.827,0
./Worlds/wall_worlds/new_world_9.blend,"(-14.43, -4.39)","(-4.12, -7.74)",-0.038,2.827,7
./Worlds/wall_worlds/new_world_2.blend,"(13.9, -8.65)","(3.89, -8.65)",2.422,0.0,6
./Worlds/wall_worlds/new_world_3.blend,"(10.94, -11.38)","(-2.96, -11.38)",-1.119,0.0,13
./Worlds/wall_worlds/new_world_2.blend,"(12.46, -10.65)","(0.54, -10.65)",0.919,0.0,1
./Worlds/wall_worlds/new_world_7.blend,"(-15.04, -2.8)","(-5.54, -9.7)",-1.286,2.513,11
./Worlds/wall_worlds/new_world_1.blend,"(-15.98, -5.68)","(-5.6, -9.05)",-0.348,2.827,5
./Worlds/wall_worlds/new_world_1.blend,"(10.29, -7.74)","(-8.59, -7.74)",-1.376,0.0,1
./Worlds/wall_worlds/new_world_6.blend,"(-12.86, 3.7)","(-6.85, -14.79)",0.843,1.885,6
./Worlds/wall_worlds/new_world_6.blend,"(-15.38, 7.82)","(-15.38, -5.3)",1.392,1.571,11
./Worlds/wall_worlds/new_world_1.blend,"(-6.01, -13.77)","(5.46, -13.77)",-0.902,3.142,4
./Worlds/wall_worlds/new_world_5.blend,"(-0.15, 7.36)","(-9.89, 4.2)",-0.105,0.314,6
./Worlds/wall_worlds/new_world_3.blend,"(9.03, -5.01)","(-3.25, -5.01)",2.705,0.0,2
./Worlds/wall_worlds/new_world_8.blend,"(-8.37, 1.81)","(-0.96, -8.39)",2.189,2.199,3
./Worlds/wall_worlds/new_world_8.blend,"(-10.32, 2.85)","(-13.73, -7.65)",1.65,1.257,12
./Worlds/wall_worlds/new_world_0.blend,"(-8.39, 5.19)","(-15.75, -4.94)",-2.365,0.942,4
./Worlds/wall_worlds/new_world_9.blend,"(-4.28, -13.26)","(10.46, -8.47)",-0.084,-2.827,2
./Worlds/wall_worlds/new_world_8.blend,"(-5.42, -8.74)","(13.59, -8.74)",2.003,3.142,2
./Worlds/wall_worlds/new_world_0.blend,"(2.24, 6.31)","(-13.47, 1.2)",-0.129,0.314,12
./Worlds/wall_worlds/new_world_3.blend,"(0.06, 10.64)","(-14.84, 10.64)",1.155,0.0,7
./Worlds/wall_worlds/new_world_3.blend,"(-15.27, 2.66)","(-15.27, -12.42)",0.908,1.571,11
./Worlds/wall_worlds/new_world_1.blend,"(1.71, 0.51)","(-13.8, -4.53)",-0.426,0.314,13
./Worlds/wall_worlds/new_world_7.blend,"(12.99, 6.33)","(9.12, -5.57)",-1.635,1.257,1
./Worlds/wall_worlds/new_world_1.blend,"(-6.46, -14.35)","(6.33, -14.35)",-1.251,3.142,13
./Worlds/wall_worlds/new_world_8.blend,"(9.34, -7.91)","(13.89, 6.09)",2.803,-1.885,2
./Worlds/wall_worlds/new_world_9.blend,"(-3.99, -3.84)","(11.44, -8.86)",-2.024,2.827,7
./Worlds/wall_worlds/new_world_6.blend,"(-14.9, 7.84)","(-4.67, 7.84)",0.548,3.142,12
./Worlds/wall_worlds/new_world_1.blend,"(-15.37, 3.62)","(-15.37, -12.09)",-1.71,1.571,0
./Worlds/wall_worlds/new_world_6.blend,"(-12.75, 5.04)","(-12.75, -7.01)",2.768,1.571,13
./Worlds/wall_worlds/new_world_0.blend,"(-15.1, -1.6)","(-5.38, -14.99)",-0.173,2.199,13
./Worlds/wall_worlds/new_world_6.blend,"(8.65, 9.8)","(-8.54, 4.21)",-0.44,0.314,9
./Worlds/wall_worlds/new_world_9.blend,"(8.43, -7.14)","(-6.07, -7.14)",1.163,0.0,7
./Worlds/wall_worlds/new_world_4.blend,"(-3.3, -7.84)","(13.41, -7.84)",1.403,3.142,7
./Worlds/wall_worlds/new_world_5.blend,"(-13.95, -7.43)","(-10.05, 4.58)",1.622,-1.885,5
./Worlds/wall_worlds/new_world_4.blend,"(9.62, -12.99)","(-5.81, -12.99)",-1.383,0.0,1
./Worlds/wall_worlds/new_world_6.blend,"(-10.98, 3.14)","(-15.69, -11.37)",-2.352,1.257,11
./Worlds/wall_worlds/new_world_6.blend,"(-3.36, -6.12)","(-13.82, -6.12)",-0.54,0.0,5
./Worlds/wall_worlds/new_world_8.blend,"(-2.66, 7.59)","(-15.98, 7.59)",-1.412,0.0,12
./Worlds/wall_worlds/new_world_3.blend,"(3.27, 3.12)","(-9.78, 3.12)",2.341,0.0,11
./Worlds/wall_worlds/new_world_4.blend,"(3.13, 4.82)","(-14.11, 4.82)",-1.947,0.0,6
./Worlds/wall_worlds/new_world_3.blend,"(-13.28, 0.25)","(-6.53, -9.04)",-0.238,2.199,6
./Worlds/wall_worlds/new_world_0.blend,"(-4.26, 8.99)","(-15.62, -6.65)",-2.228,0.942,5
./Worlds/wall_worlds/new_world_2.blend,"(-8.75, 3.15)","(-15.4, -6.0)",0.848,0.942,7
./Worlds/wall_worlds/new_world_1.blend,"(-11.79, 1.79)","(3.26, -9.15)",2.013,2.513,10
./Worlds/wall_worlds/new_world_8.blend,"(-4.13, -2.94)","(4.07, -8.9)",-0.362,2.513,0
./Worlds/wall_worlds/new_world_4.blend,"(-15.66, 1.6)","(-15.66, -12.4)",1.491,1.571,3
./Worlds/wall_worlds/new_world_9.blend,"(11.55, -11.48)","(-3.3, -11.48)",-0.086,0.0,2
./Worlds/wall_worlds/new_world_9.blend,"(1.81, 6.53)","(-12.25, 1.97)",-1.193,0.314,8
./Worlds/wall_worlds/new_world_6.blend,"(-13.56, -2.72)","(-2.92, -6.17)",-0.696,2.827,13
./Worlds/wall_worlds/new_world_3.blend,"(-7.25, 4.79)","(-15.69, -1.34)",-0.468,0.628,10
./Worlds/wall_worlds/new_world_4.blend,"(4.92, 4.88)","(-6.02, -10.19)",0.709,0.942,11
./Worlds/wall_worlds/new_world_7.blend,"(-15.59, -4.92)","(-5.23, -8.29)",0.171,2.827,1
./Worlds/wall_worlds/new_world_7.blend,"(-13.04, -1.11)","(-4.63, -12.68)",-0.926,2.199,5
./Worlds/wall_worlds/new_world_4.blend,"(11.09, -9.05)","(11.09, 5.75)",-0.214,-1.571,9
./Worlds/wall_worlds/new_world_9.blend,"(0.63, 7.04)","(-15.02, -4.33)",-1.047,0.628,11
./Worlds/wall_worlds/new_world_4.blend,"(-5.38, -13.15)","(5.82, -13.15)",1.235,3.142,6
./Worlds/wall_worlds/new_world_4.blend,"(1.83, 7.69)","(-8.87, 4.21)",0.393,0.314,7
./Worlds/wall_worlds/new_world_4.blend,"(-2.03, 7.86)","(-15.27, -1.76)",2.964,0.628,7
./Worlds/wall_worlds/new_world_4.blend,"(7.99, -4.6)","(-4.8, -4.6)",0.802,0.0,6
./Worlds/wall_worlds/new_world_4.blend,"(-15.38, 6.69)","(-15.38, -10.28)",-2.23,1.571,11
./Worlds/wall_worlds/new_world_2.blend,"(-12.83, 4.69)","(-15.93, -4.87)",0.584,1.257,5
./Worlds/wall_worlds/new_world_1.blend,"(8.7, -7.74)","(-4.38, -7.74)",1.75,0.0,0
./Worlds/wall_worlds/new_world_9.blend,"(-8.23, 3.96)","(1.13, -8.92)",0.16,2.199,10
./Worlds/wall_worlds/new_world_5.blend,"(-7.15, 5.1)","(-11.15, -7.22)",-1.287,1.257,8
./Worlds/wall_worlds/new_world_4.blend,"(4.19, 5.54)","(-13.51, -0.21)",-2.949,0.314,12
./Worlds/wall_worlds/new_world_7.blend,"(-11.05, 5.56)","(-14.68, -5.6)",-0.304,1.257,11
./Worlds/wall_worlds/new_world_4.blend,"(-3.93, -14.89)","(7.19, -11.27)",-0.81,-2.827,7
./Worlds/wall_worlds/new_world_4.blend,"(13.72, -3.51)","(-0.74, -8.21)",-0.596,0.314,13
./Worlds/wall_worlds/new_world_6.blend,"(-14.97, 8.95)","(-14.97, -6.39)",1.719,1.571,5
./Worlds/wall_worlds/new_world_6.blend,"(-13.83, -4.76)","(-2.53, -8.43)",-2.251,2.827,11
./Worlds/wall_worlds/new_world_9.blend,"(11.68, -7.45)","(-3.27, -7.45)",-2.35,0.0,11
./Worlds/wall_worlds/new_world_3.blend,"(-7.91, 3.68)","(-3.95, -8.51)",-1.135,1.885,1
./Worlds/wall_worlds/new_world_3.blend,"(3.99, 2.96)","(-8.81, 2.96)",-2.331,0.0,8
./Worlds/wall_worlds/new_world_5.blend,"(-8.46, 2.36)","(-11.82, -7.97)",-1.282,1.257,9
./Worlds/wall_worlds/new_world_8.blend,"(11.91, -8.39)","(-0.43, -8.39)",-2.656,0.0,3
./Worlds/wall_worlds/new_world_7.blend,"(11.41, 8.01)","(-1.87, 8.01)",-1.031,0.0,12
./Worlds/wall_worlds/new_world_0.blend,"(-15.59, -2.23)","(-4.55, -10.25)",1.672,2.513,7
./Worlds/wall_worlds/new_world_6.blend,"(-3.91, 9.45)","(-3.91, -2.58)",-2.444,1.571,3
./Worlds/wall_worlds/new_world_6.blend,"(-14.08, 2.94)","(-6.23, -7.86)",-1.015,2.199,0
./Worlds/wall_worlds/new_world_8.blend,"(4.32, 1.9)","(-11.75, 1.9)",2.348,0.0,11
./Worlds/wall_worlds/new_world_2.blend,"(9.41, -3.28)","(-3.92, -7.61)",2.179,0.314,11
./Worlds/wall_worlds/new_world_3.blend,"(-14.17, -7.89)","(-14.17, 3.85)",0.456,-1.571,9
./Worlds/wall_worlds/new_world_2.blend,"(9.24, -8.52)","(-1.23, -8.52)",-0.051,0.0,6
./Worlds/wall_worlds/new_world_6.blend,"(11.84, 7.76)","(0.22, 7.76)",-0.168,0.0,5
./Worlds/wall_worlds/new_world_9.blend,"(-3.84, -10.39)","(10.09, -10.39)",-1.787,3.142,6
./Worlds/wall_worlds/new_world_8.blend,"(8.16, -6.42)","(-3.51, -6.42)",-2.505,0.0,11
./Worlds/wall_worlds/new_world_6.blend,"(-3.31, -4.84)","(-12.82, -7.93)",-2.005,0.314,9
./Worlds/wall_worlds/new_world_6.blend,"(8.89, -6.79)","(8.89, 6.05)",0.968,-1.571,11
./Worlds/wall_worlds/new_world_0.blend,"(-9.32, 4.39)","(4.29, 4.39)",-2.95,3.142,2
./Worlds/wall_worlds/new_world_9.blend,"(4.69, 1.86)","(-15.1, 1.86)",3.106,0.0,9
./Worlds/wall_worlds/new_world_2.blend,"(-6.35, -9.05)","(5.23, -9.05)",0.924,3.142,1
./Worlds/wall_worlds/new_world_3.blend,"(10.03, -11.63)","(-3.35, -11.63)",0.528,0.0,2
./Worlds/wall_worlds/new_world_1.blend,"(-10.78, 1.79)","(2.8, -8.08)",-2.697,2.513,4
./Worlds/wall_worlds/new_world_4.blend,"(1.91, 3.81)","(-12.07, 3.81)",-1.714,0.0,5
./Worlds/wall_worlds/new_world_4.blend,"(-15.92, 5.24)","(-15.92, -10.67)",0.219,1.571,4
./Worlds/wall_worlds/new_world_9.blend,"(-15.82, 5.75)","(-15.82, -6.65)",1.666,1.571,2
./Worlds/wall_worlds/new_world_7.blend,"(-15.47, 10.06)","(-15.47, -9.82)",2.393,1.571,1
./Worlds/wall_worlds/new_world_4.blend,"(-4.11, 9.77)","(-13.33, -2.93)",-0.464,0.942,3
./Worlds/wall_worlds/new_world_4.blend,"(-15.23, 6.48)","(-15.23, -6.43)",0.758,1.571,4
./Worlds/wall_worlds/new_world_7.blend,"(11.35, 7.32)","(-0.83, 7.32)",2.928,0.0,13
./Worlds/wall_worlds/new_world_8.blend,"(-14.87, -2.95)","(1.84, -8.38)",-0.827,2.827,12
./Worlds/wall_worlds/new_world_3.blend,"(12.37, -11.98)","(-0.79, -11.98)",1.578,0.0,12
./Worlds/wall_worlds/new_world_4.blend,"(-13.07, 5.25)","(-2.73, -2.26)",-1.648,2.513,0
./Worlds/wall_worlds/new_world_3.blend,"(-5.42, -14.86)","(5.41, -14.86)",2.65,3.142,6
./Worlds/wall_worlds/new_world_5.blend,"(-12.76, 1.04)","(-6.22, -7.97)",3.06,2.199,9
./Worlds/wall_worlds/new_world_9.blend,"(-2.36, -5.59)","(9.98, -9.6)",-0.208,2.827,5
./Worlds/wall_worlds/new_world_8.blend,"(-11.11, 5.07)","(-1.82, -7.71)",-2.967,2.199,9
./Worlds/wall_worlds/new_world_2.blend,"(-10.61, 4.19)","(-10.61, -7.69)",1.806,1.571,1
./Worlds/wall_worlds/new_world_4.blend,"(-13.09, 4.81)","(-4.5, -7.01)",-1.003,2.199,9
./Worlds/wall_worlds/new_world_3.blend,"(-8.0, 5.48)","(-15.11, -4.32)",-2.724,0.942,8
./Worlds/wall_worlds/new_world_1.blend,"(1.41, 6.77)","(-13.67, 1.87)",-0.365,0.314,6
./Worlds/wall_worlds/new_world_7.blend,"(1.16, 2.49)","(-13.3, 2.49)",-2.842,0.0,4
./Worlds/wall_worlds/new_world_1.blend,"(11.62, -8.27)","(-5.39, -8.27)",-1.995,0.0,2
./Worlds/wall_worlds/new_world_9.blend,"(-9.15, 5.42)","(1.82, -9.69)",2.623,2.199,2
./Worlds/wall_worlds/new_world_4.blend,"(-5.56, -14.76)","(4.56, -11.47)",2.197,-2.827,1
./Worlds/wall_worlds/new_world_3.blend,"(-14.29, 10.77)","(-14.29, -2.96)",-2.401,1.571,2
./Worlds/wall_worlds/new_world_0.blend,"(-14.06, 1.19)","(-3.11, -13.88)",1.906,2.199,6
./Worlds/wall_worlds/new_world_6.blend,"(2.34, 2.5)","(-11.23, -7.37)",-0.523,0.628,0
./Worlds/wall_worlds/new_world_3.blend,"(-15.19, -3.07)","(-1.34, -7.57)",0.121,2.827,6
./Worlds/wall_worlds/new_world_5.blend,"(12.06, 5.87)","(8.64, -4.63)",2.856,1.257,8
./Worlds/wall_worlds/new_world_5.blend,"(-15.0, 2.73)","(-6.71, -8.68)",-1.826,2.199,13
./Worlds/wall_worlds/new_world_2.blend,"(1.17, 4.51)","(-13.93, 4.51)",-2.917,0.0,4
./Worlds/wall_worlds/new_world_9.blend,"(-1.8, -4.69)","(-14.78, -4.69)",2.631,0.0,0
./Worlds/wall_worlds/new_world_4.blend,"(-9.73, 4.02)","(-6.12, -7.1)",-2.683,1.885,12
./Worlds/wall_worlds/new_world_8.blend,"(-14.34, 6.47)","(-14.34, -4.0)",1.792,1.571,13
./Worlds/wall_worlds/new_world_0.blend,"(8.07, -3.14)","(8.07, 8.85)",2.877,-1.571,11
./Worlds/wall_worlds/new_world_7.blend,"(-14.56, 1.5)","(-4.23, -12.72)",-2.19,2.199,1
./Worlds/wall_worlds/new_world_7.blend,"(-4.49, 9.04)","(-15.2, -5.71)",-2.765,0.942,6
./Worlds/wall_worlds/new_world_7.blend,"(2.95, 5.28)","(-14.11, 5.28)",-1.615,0.0,5
