world,evader_spawn,pursuer_spawn,evader_ori,pursuer_ori,goal_id
./Worlds/walls_only/new_world_0.blend,"(-15.29, -7.13)","(-5.11, -14.53)",-2.515,2.513,11
./Worlds/walls_only/new_world_3.blend,"(0.29, 8.58)","(-15.53, 3.43)",-0.708,0.314,8
./Worlds/walls_only/new_world_4.blend,"(-1.19, 0.5)","(-12.68, -7.85)",-0.905,0.628,5
./Worlds/walls_only/new_world_2.blend,"(0.31, -5.85)","(-12.43, -5.85)",-2.668,0.0,11
./Worlds/walls_only/new_world_9.blend,"(4.3, -7.55)","(-9.69, -7.55)",3.054,0.0,3
./Worlds/walls_only/new_world_1.blend,"(-11.73, 11.68)","(-11.73, -5.77)",0.314,1.571,7
./Worlds/walls_only/new_world_3.blend,"(6.7, 5.72)","(-6.85, 5.72)",2.348,0.0,0
./Worlds/walls_only/new_world_0.blend,"(-15.79, -12.05)","(-5.04, -12.05)",0.557,3.142,13
./Worlds/walls_only/new_world_0.blend,"(8.23, -7.97)","(-10.49, -7.97)",2.011,0.0,6
./Worlds/walls_only/new_world_0.blend,"(-2.83, -0.39)","(-14.12, -8.59)",-0.568,0.628,9
./Worlds/walls_only/new_world_6.blend,"(-9.23, 1.4)","(-15.92, -7.8)",1.788,0.942,6
./Worlds/walls_only/new_world_4.blend,"(-3.35, -0.07)","(-13.29, -7.3)",2.683,0.628,12
./Worlds/walls_only/new_world_8.blend,"(-13.4, 6.24)","(-13.4, -4.57)",-2.677,1.571,3
./Worlds/walls_only/new_world_6.blend,"(11.87, -11.91)","(0.82, -11.91)",-2.808,0.0,7
./Worlds/walls_only/new_world_0.blend,"(-15.58, 3.89)","(-9.97, -13.37)",-2.328,1.885,4
./Worlds/walls_only/new_world_8.blend,"(-2.48, 1.67)","(-14.5, -2.24)",2.289,0.314,4
./Worlds/walls_only/new_world_8.blend,"(-9.92, 0.74)","(-13.14, -9.18)",1.705,1.257,6
./Worlds/walls_only/new_world_9.blend,"(-9.17, 8.37)","(-14.9, -9.28)",-2.802,1.257,11
./Worlds/walls_only/new_world_6.blend,"(-1.25, 0.6)","(-12.13, -2.94)",-1.439,0.314,6
./Worlds/walls_only/new_world_9.blend,"(-13.22, -6.17)","(-3.32, -13.36)",2.357,2.513,13
./Worlds/walls_only/new_world_3.blend,"(11.32, 5.42)","(-5.44, 5.42)",-1.228,0.0,10
./Worlds/walls_only/new_world_8.blend,"(0.7, 3.86)","(-12.53, 3.86)",0.641,0.0,7
./Worlds/walls_only/new_world_2.blend,"(-12.66, 5.76)","(-15.95, -4.39)",-0.819,1.257,0
./Worlds/walls_only/new_world_0.blend,"(0.15, 6.41)","(-12.94, 6.41)",0.404,0.0,4
./Worlds/walls_only/new_world_0.blend,"(-6.71, 0.9)","(-6.71, -11.0)",-0.718,1.571,13
./Worlds/walls_only/new_world_7.blend,"(-9.48, -13.48)","(1.79, -13.48)",1.467,3.142,13
./Worlds/walls_only/new_world_4.blend,"(-14.07, 9.16)","(-14.07, -8.67)",2.714,1.571,11
./Worlds/walls_only/new_world_9.blend,"(2.85, 7.21)","(-14.74, 7.21)",0.865,0.0,2
./Worlds/walls_only/new_world_4.blend,"(-10.66, 5.88)","(-15.24, -8.23)",1.19,1.257,10
./Worlds/walls_only/new_world_8.blend,"(-8.65, 9.26)","(-13.4, -5.34)",-2.075,1.257,3
./Worlds/walls_only/new_world_0.blend,"(1.51, -4.23)","(-9.52, -4.23)",0.3,0.0,6
./Worlds/walls_only/new_world_2.blend,"(-14.37, 8.58)","(-14.37, -1.95)",-0.285,1.571,7
./Worlds/walls_only/new_world_1.blend,"(9.25, 7.23)","(-5.85, 7.23)",-1.955,0.0,8
./Worlds/walls_only/new_world_9.blend,"(-14.43, -13.37)","(4.07, -13.37)",0.018,3.142,4
./Worlds/walls_only/new_world_7.blend,"(-4.35, -14.95)","(6.33, -14.95)",2.448,3.142,9
./Worlds/walls_only/new_world_0.blend,"(-4.72, -2.38)","(-15.88, -2.38)",-1.926,0.0,9
./Worlds/walls_only/new_world_4.blend,"(-2.26, 8.07)","(-11.53, 1.33)",-0.094,0.628,4
./Worlds/walls_only/new_world_6.blend,"(-12.81, 5.09)","(-12.81, -10.04)",-2.6,1.571,12
./Worlds/walls_only/new_world_8.blend,"(5.35, -6.87)","(-11.41, -6.87)",0.592,0.0,0
./Worlds/walls_only/new_world_1.blend,"(-1.65, 0.1)","(-13.88, -3.88)",-2.873,0.314,6
./Worlds/walls_only/new_world_0.blend,"(-8.76, 6.4)","(-15.9, -3.43)",1.992,0.942,2
./Worlds/walls_only/new_world_5.blend,"(-2.41, -4.26)","(-5.83, -14.8)",1.198,1.257,2
./Worlds/walls_only/new_world_5.blend,"(-13.79, -7.16)","(3.77, -12.86)",2.541,2.827,9
./Worlds/walls_only/new_world_2.blend,"(4.22, -6.57)","(-12.96, -6.57)",-0.744,0.0,12
./Worlds/walls_only/new_world_3.blend,"(-2.3, -3.88)","(-14.12, -3.88)",-3.056,0.0,0
./Worlds/walls_only/new_world_7.blend,"(-8.87, 3.49)","(-12.3, -7.07)",1.778,1.257,9
./Worlds/walls_only/new_world_2.blend,"(1.19, -2.77)","(-10.61, -6.6)",-0.422,0.314,7
./Worlds/walls_only/new_world_4.blend,"(-14.25, -13.04)","(-3.56, -13.04)",2.906,3.142,6
./Worlds/walls_only/new_world_6.blend,"(-6.73, 0.32)","(-14.39, -10.23)",1.123,0.942,2
./Worlds/walls_only/new_world_5.blend,"(-15.12, 7.3)","(-15.12, -9.15)",2.793,1.571,9
./Worlds/walls_only/new_world_2.blend,"(-0.17, -0.93)","(-13.65, -5.31)",-1.895,0.314,12
./Worlds/walls_only/new_world_2.blend,"(-14.97, -14.52)","(0.34, -14.52)",-1.405,3.142,8
./Worlds/walls_only/new_world_6.blend,"(13.78, -12.53)","(-1.51, -12.53)",-1.947,0.0,13
./Worlds/walls_only/new_world_0.blend,"(4.92, -14.56)","(-7.23, -14.56)",2.001,0.0,1
./Worlds/walls_only/new_world_3.blend,"(2.01, -2.93)","(-10.56, -2.93)",0.152,0.0,5
./Worlds/walls_only/new_world_9.blend,"(-5.78, -4.56)","(-14.5, -10.89)",1.312,0.628,13
./Worlds/walls_only/new_world_5.blend,"(-5.24, -6.69)","(-14.29, -13.26)",2.639,0.628,5
./Worlds/walls_only/new_world_8.blend,"(-8.9, -12.77)","(9.28, -12.77)",-0.569,3.142,5
./Worlds/walls_only/new_world_0.blend,"(-3.15, 3.84)","(-14.97, 0.0)",1.887,0.314,0
./Worlds/walls_only/new_world_1.blend,"(0.96, -6.86)","(-10.28, -6.86)",-0.297,0.0,7
./Worlds/walls_only/new_world_9.blend,"(-11.91, -5.87)","(-1.77, -13.23)",0.103,2.513,5
